Time resolution is 1 ps
Time=0, A=0, B=0, C=0
Time=110000, A=1, B=0, C=0
Time=130000, A=1, B=1, C=0
Time=150000, A=1, B=1, C=1
Time=170000, A=0, B=1, C=1
Time=190000, A=0, B=0, C=1
Time=210000, A=1, B=0, C=0
Time=230000, A=1, B=1, C=0
Time=250000, A=1, B=1, C=1
Time=270000, A=0, B=1, C=1
Time=290000, A=0, B=0, C=1
Time=310000, A=1, B=0, C=0
Time=330000, A=1, B=1, C=0
Time=350000, A=1, B=1, C=1
Time=370000, A=0, B=1, C=1
Time=390000, A=0, B=0, C=1
Time=410000, A=1, B=0, C=0
Time=430000, A=1, B=1, C=0
Time=450000, A=1, B=1, C=1
Time=470000, A=0, B=1, C=1
Time=490000, A=0, B=0, C=1
Time=510000, A=1, B=0, C=0
Time=530000, A=1, B=1, C=0
Time=550000, A=1, B=1, C=1
Time=570000, A=0, B=1, C=1
Time=590000, A=0, B=0, C=1
Time=610000, A=1, B=0, C=0
Time=630000, A=1, B=1, C=0
Time=650000, A=1, B=1, C=1
Time=670000, A=0, B=1, C=1
Time=690000, A=0, B=0, C=1
Time=710000, A=1, B=0, C=0
Time=730000, A=1, B=1, C=0
Time=750000, A=1, B=1, C=1
Time=770000, A=0, B=1, C=1
Time=790000, A=0, B=0, C=1
Time=810000, A=1, B=0, C=0
Time=830000, A=1, B=1, C=0
Time=850000, A=1, B=1, C=1
Time=870000, A=0, B=1, C=1
Time=890000, A=0, B=0, C=1
Time=910000, A=1, B=0, C=0
Time=930000, A=1, B=1, C=0
Time=950000, A=1, B=1, C=1
Time=970000, A=0, B=1, C=1
Time=990000, A=0, B=0, C=1
